Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.5719,Fri Nov 03 23:51:06 +0000 2017,0.0,0.764,0.236,"RT @BBCSport: The perfect recipe for an FA Cup classic.

#WinnerStaysOn #bbcfacup https://t.co/wP1fszdCvU",68,@BBC
0.0,Fri Nov 03 23:50:05 +0000 2017,0.0,1.0,0.0,"RT @BBCNewsbeat: Beyoncé, here's some advice from the cast of The Lion King musical in London 🦁

""Try not to outshine [the rest of the cast…",69,@BBC
-0.5994,Fri Nov 03 19:31:04 +0000 2017,0.206,0.794,0.0,"In childbirth, a simple light can be the difference between life &amp; death. 💡#BBCInnovators #SoCent @BBCWorldService.… https://t.co/mNFqNg0glJ",70,@BBC
-0.6249,Fri Nov 03 19:05:01 +0000 2017,0.24,0.76,0.0,"'When I Google @Harry_Styles worst outfit, it's all the same picture'. 😂 Watch #HarryStylesAtTheBBC 👉… https://t.co/UjOJ1LcyQt",71,@BBC
-0.2942,Fri Nov 03 18:30:08 +0000 2017,0.144,0.856,0.0,"🥐🎄✨ Forget about the Cronut, a mince pie croissant is coming for Christmas! 
https://t.co/mrTI8CLn2r https://t.co/7BYkA8Vv3n",72,@BBC
-0.6369,Fri Nov 03 18:01:04 +0000 2017,0.259,0.741,0.0,What drives someone to send abusive messages to a stranger online? Via @BBCTheSocial. https://t.co/Cxo8DuEtG6,73,@BBC
0.3818,Fri Nov 03 17:31:05 +0000 2017,0.0,0.843,0.157,"If women suddenly became physically stronger than men, how would society change? 💪👩 https://t.co/qwZ5idgRsX https://t.co/zoJH7Pf6fm",74,@BBC
0.0,Fri Nov 03 17:03:04 +0000 2017,0.0,1.0,0.0,"📺 👀 @EdSheeran, @LiamGallagher and @BigNarstie to appear on Celebrity Gogglebox. https://t.co/Fh0SK8VjP4 https://t.co/6re7dX2vf3",75,@BBC
0.0,Fri Nov 03 17:01:02 +0000 2017,0.0,1.0,0.0,Jumping into the weekend like... #FridayFeeling https://t.co/Bn7SDR8280,76,@BBC
0.7906,Fri Nov 03 16:32:04 +0000 2017,0.0,0.708,0.292,🍟 From @Harry_Styles' love of Sister Act to the way he likes his chips: what we learned from #HarryStylesAtTheBBC.… https://t.co/zHLFRFTXoh,77,@BBC
0.0,Fri Nov 03 16:01:05 +0000 2017,0.0,1.0,0.0,"There's still time to catch up on last week's #SLFN ahead of tonight's show, guest-hosted by @LiamPayne! 🙌😍
Watch 👉… https://t.co/gvwjlpjsVJ",78,@BBC
0.3612,Fri Nov 03 15:25:06 +0000 2017,0.0,0.839,0.161,Ready to watch @Harry_Styles' show again? Us too. 🙌 💜 #HarryStylesAtTheBBC is on @BBCiPlayer now.… https://t.co/V3VkJHKToA,79,@BBC
0.4019,Fri Nov 03 15:09:46 +0000 2017,0.0,0.863,0.137,"RT @bbcpress: Helena Bonham Carter narrates #SayingGoodbye, a special film for #CiN to shed a light on Childhood Bereavement: https://t.co/…",80,@BBC
0.0,Fri Nov 03 14:05:17 +0000 2017,0.0,1.0,0.0,"RT @BBCSpringwatch: Remember, you can catch up with #Autumnwatch for the next few weeks
https://t.co/U7yr1lnpLm https://t.co/B1diCYr9zG",81,@BBC
0.6439,Fri Nov 03 14:04:55 +0000 2017,0.0,0.653,0.347,"RT @bbcmusic: 🙌 @LiamPayne we are SO READY 😍
#SLFN https://t.co/GWU3xAKmpq",82,@BBC
0.8658,Fri Nov 03 14:04:50 +0000 2017,0.0,0.662,0.338,"RT @1Xtra: We've got the awesome @MayaJama for the 1st time 😵 in for @YasminEvans till 16:00 you lucky lucky people 💝

🙏🏾  https://t.co/xZV…",83,@BBC
0.0,Fri Nov 03 14:04:46 +0000 2017,0.0,1.0,0.0,"RT @BBCTwo: Before the #PeakyBlinders return for Series 4, take an animated walk through the story so far... 😍 https://t.co/3JhEYPsOTc",84,@BBC
0.0,Fri Nov 03 14:04:10 +0000 2017,0.0,1.0,0.0,In pictures: here's how the weather looked around the world this week. 🌧🍂🌗 https://t.co/vYCLWW9pu1 https://t.co/KBg4tRImNB,85,@BBC
0.0,Fri Nov 03 13:33:03 +0000 2017,0.0,1.0,0.0,"Scientists think that we've been wearing shoes for 40,000 years. Where did the different styles of shoes start? 👠… https://t.co/rjLMvh8WmF",86,@BBC
0.4215,Fri Nov 03 13:03:09 +0000 2017,0.0,0.865,0.135,"From #PeakyBlinders to Margaret Atwood adaptation Alias Grace, here are ten TV shows to watch this month. 📺🍁☕️… https://t.co/iiUdktBMcl",87,@BBC
-0.4215,Fri Nov 03 12:32:01 +0000 2017,0.236,0.632,0.132,Could this be the solution to Nairobi's housing crisis? Via BBC Minute. https://t.co/tcBiUVvxQ4,88,@BBC
0.34,Fri Nov 03 12:05:03 +0000 2017,0.0,0.844,0.156,Introducing AquaSonic: The concert where musicians sing and play instruments underwater. 🎶💧 https://t.co/Xbrgxyv8mX https://t.co/pibmjQ9vW3,89,@BBC
0.0,Fri Nov 03 11:04:05 +0000 2017,0.0,1.0,0.0,Melted cheese ✔️ Pickle ✔️ Russian dressing ✔️ Introducing: The @HairyBikers' Reuben sandwich.… https://t.co/kBSkwbRgSz,90,@BBC
0.0,Fri Nov 03 10:29:02 +0000 2017,0.0,1.0,0.0,"📀 @KatieMelua to release @BBCCiN's official 2017 single, ‘Fields of Gold’. https://t.co/r5ihzBuvJS #CiN 

More ➡️… https://t.co/D3Q9JEDnYc",91,@BBC
0.3612,Fri Nov 03 09:43:00 +0000 2017,0.0,0.884,0.116,"RT @BBCSport: Even. More. Live. Sport. 👏

Get ready for 1000 extra hours of live streaming on #BBCSPORT in 2018. https://t.co/91Uz5zo9nt",92,@BBC
